 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter    92 lrate =  1.0000000000 LL =  -2.5837077988 nd =  0.0012479697, D =   0.98479E-01  0.98479E-01  (  1.20 s,   0.6 h)
 iter    93 lrate =  1.0000000000 LL =  -2.5835978055 nd =  0.0012213839, D =   0.98727E-01  0.98727E-01  (  1.15 s,   0.6 h)
 iter    94 lrate =  1.0000000000 LL =  -2.5834923640 nd =  0.0012001896, D =   0.98950E-01  0.98950E-01  (  1.06 s,   0.6 h)
 iter    95 lrate =  1.0000000000 LL =  -2.5833915613 nd =  0.0011775660, D =   0.99200E-01  0.99200E-01  (  1.14 s,   0.6 h)
 iter    96 lrate =  1.0000000000 LL =  -2.5832951321 nd =  0.0011530211, D =   0.99457E-01  0.99457E-01  (  0.79 s,   0.4 h)
 iter    97 lrate =  1.0000000000 LL =  -2.5832021407 nd =  0.0011312829, D =   0.99714E-01  0.99714E-01  (  0.78 s,   0.4 h)
 iter    98 lrate =  1.0000000000 LL =  -2.5831120594 nd =  0.0011136646, D =   0.99953E-01  0.99953E-01  (  0.81 s,   0.4 h)
 iter    99 lrate =  1.0000000000 LL =  -2.5830246874 nd =  0.0010957800, D =   0.10019E+00  0.10019E+00  (  0.80 s,   0.4 h)
 iter   100 lrate =  1.0000000000 LL =  -2.5829403998 nd =  0.0010780167, D =   0.10042E+00  0.10042E+00  (  0.73 s,   0.4 h)
 iter   101 lrate =  1.0000000000 LL =  -2.5829170702 nd =  0.0010901888, D =   0.10042E+00  0.10042E+00  (  1.29 s,   0.7 h)
 iter   102 lrate =  1.0000000000 LL =  -2.5828950364 nd =  0.0011006252, D =   0.10042E+00  0.10042E+00  (  0.73 s,   0.4 h)
 iter   103 lrate =  1.0000000000 LL =  -2.5828741479 nd =  0.0011096823, D =   0.10042E+00  0.10042E+00  (  0.72 s,   0.4 h)
